Name,Services,Cost
"EcoStruxure Panel Server – universal wireless, concentrator Modbus gateway 110-277 VAC/DC, iEM3155 energy meter -63A- Modbus","[{'service': 'E-2', 'condition': None, 'domain': 'Electricity', 'level': 4}, {'service': 'E-4', 'condition': None, 'domain': 'Electricity', 'level': 3}, {'service': 'E-8', 'condition': None, 'domain': 'Electricity', 'level': 1}, {'service': 'E-11', 'condition': None, 'domain': 'Electricity', 'level': 4}, {'service': 'E-12', 'condition': None, 'domain': 'Electricity', 'level': 2}]",4084.0
Ecobee SmartThermostat (multiple thermostats),"[{'service': 'H-1a', 'condition': None, 'domain': 'Heating', 'level': 4}, {'service': 'H-2a', 'condition': None, 'domain': 'Heating', 'level': 2}, {'service': 'C-1a', 'condition': None, 'domain': 'Cooling', 'level': 4}, {'service': 'V-1a', 'condition': None, 'domain': 'Ventilation', 'level': 3}, {'service': 'E-12', 'condition': None, 'domain': 'Electricity', 'level': 4}, {'service': 'MC-3', 'condition': None, 'domain': 'Monitoring and control', 'level': 3}, {'service': 'MC-4', 'condition': None, 'domain': 'Monitoring and control', 'level': 2}, {'service': 'MC-9', 'condition': None, 'domain': 'Monitoring and control', 'level': 2}, {'service': 'MC-13', 'condition': None, 'domain': 'Monitoring and control', 'level': 3}, {'service': 'MC-25', 'condition': None, 'domain': 'Monitoring and control', 'level': 2}, {'service': 'MC-29', 'condition': None, 'domain': 'Monitoring and control', 'level': 2}, {'service': 'MC-30', 'condition': None, 'domain': 'Monitoring and control', 'level': 3}]",1970.0
Ecobee SmartThermostat (single thermostat),"[{'service': 'H-1a', 'condition': None, 'domain': 'Heating', 'level': 1}, {'service': 'H-2a', 'condition': None, 'domain': 'Heating', 'level': 2}, {'service': 'C-1a', 'condition': None, 'domain': 'Cooling', 'level': 1}, {'service': 'V-1a', 'condition': None, 'domain': 'Ventilation', 'level': 3}, {'service': 'E-12', 'condition': None, 'domain': 'Electricity', 'level': 4}, {'service': 'MC-3', 'condition': None, 'domain': 'Monitoring and control', 'level': 3}, {'service': 'MC-4', 'condition': None, 'domain': 'Monitoring and control', 'level': 2}, {'service': 'MC-9', 'condition': None, 'domain': 'Monitoring and control', 'level': 2}, {'service': 'MC-13', 'condition': None, 'domain': 'Monitoring and control', 'level': 3}, {'service': 'MC-25', 'condition': None, 'domain': 'Monitoring and control', 'level': 2}, {'service': 'MC-29', 'condition': None, 'domain': 'Monitoring and control', 'level': 2}, {'service': 'MC-30', 'condition': None, 'domain': 'Monitoring and control', 'level': 3}]",394.0
Efergy Elite Classic,"[{'service': 'E-12', 'condition': None, 'domain': 'Electricity', 'level': 3}, {'service': 'V-6', 'condition': None, 'domain': 'Ventilation', 'level': 2}]",215.0
Electric Car Charger Type 2 - Schuko (220V),"[{'service': 'EV-15', 'condition': None, 'domain': 'Electric vehicle charging', 'level': 1}, {'service': 'EV-17', 'condition': None, 'domain': 'Electric vehicle charging', 'level': 1}]",180.0
Fantech VHR 70R ES Fresh Air Appliance Heat Recovery Ventilator,"[{'service': 'V-1a', 'condition': None, 'domain': 'Ventilation', 'level': 2}, {'service': 'V-1c', 'condition': None, 'domain': 'Ventilation', 'level': 1}, {'service': 'V-2c', 'condition': None, 'domain': 'Ventilation', 'level': 1}, {'service': 'V-2d', 'condition': None, 'domain': 'Ventilation', 'level': 2}, {'service': 'V-3', 'condition': None, 'domain': 'Ventilation', 'level': 2}, {'service': 'V-6', 'condition': None, 'domain': 'Ventilation', 'level': 2}]",1616.0
Fujitsu General Waterwaste,"[{'service': 'H-2a', 'condition': None, 'domain': 'Heating', 'level': 2}, {'service': 'H-2b', 'condition': None, 'domain': 'Heating', 'level': 2}, {'service': 'H-4', 'condition': None, 'domain': 'Heating', 'level': 2}, {'service': 'DHW-1b', 'condition': None, 'domain': 'Domestic hot water', 'level': 2}, {'service': 'DHW-1d', 'condition': None, 'domain': 'Domestic hot water', 'level': 2}, {'service': 'DHW-2b', 'condition': None, 'domain': 'Domestic hot water', 'level': 2}]",8580.0
Google Nest Learning Thermostat (multiple thermostats),"[{'service': 'H-1a', 'condition': None, 'domain': 'Heating', 'level': 4}, {'service': 'H-3', 'condition': None, 'domain': 'Heating', 'level': 2}, {'service': 'H-4', 'condition': None, 'domain': 'Heating', 'level': 3}, {'service': 'C-1a', 'condition': None, 'domain': 'Cooling', 'level': 4}, {'service': 'C-3', 'condition': None, 'domain': 'Cooling', 'level': 2}, {'service': 'C-4', 'condition': None, 'domain': 'Cooling', 'level': 2}, {'service': 'DHW-1b', 'condition': None, 'domain': 'Domestic hot water', 'level': 1}, {'service': 'E-12', 'condition': None, 'domain': 'Electricity', 'level': 4}, {'service': 'MC-9', 'condition': None, 'domain': 'Monitoring and control', 'level': 1}]",1885.0
Google Nest Learning Thermostat (single thermostat),"[{'service': 'H-1a', 'condition': None, 'domain': 'Heating', 'level': 1}, {'service': 'H-3', 'condition': None, 'domain': 'Heating', 'level': 2}, {'service': 'H-4', 'condition': None, 'domain': 'Heating', 'level': 3}, {'service': 'C-1a', 'condition': None, 'domain': 'Cooling', 'level': 1}, {'service': 'C-3', 'condition': None, 'domain': 'Cooling', 'level': 2}, {'service': 'C-4', 'condition': None, 'domain': 'Cooling', 'level': 2}, {'service': 'DHW-1b', 'condition': None, 'domain': 'Domestic hot water', 'level': 1}, {'service': 'E-12', 'condition': None, 'domain': 'Electricity', 'level': 4}, {'service': 'MC-9', 'condition': None, 'domain': 'Monitoring and control', 'level': 1}]",377.0
Grundfos MAGNA3 ,"[{'service': 'H-1d', 'condition': None, 'domain': 'Heating', 'level': 4}, {'service': 'H-2a', 'condition': None, 'domain': 'Heating', 'level': 1}, {'service': 'H-3', 'condition': None, 'domain': 'Heating', 'level': 1}, {'service': 'DHW-1a', 'condition': None, 'domain': 'Domestic hot water', 'level': 1}, {'service': 'DHW-1b', 'condition': None, 'domain': 'Domestic hot water', 'level': 1}, {'service': 'C-1d', 'condition': None, 'domain': 'Cooling', 'level': 4}]",1051.0
Honeywell Home RTH5160D1003 Simple Display Non-Programmable Thermostat ,"[{'service': 'H-1d', 'condition': None, 'domain': 'Heating', 'level': 1}, {'service': 'H-4', 'condition': None, 'domain': 'Heating', 'level': 1}, {'service': 'C-1d', 'condition': None, 'domain': 'Cooling', 'level': 1}, {'service': 'C-4', 'condition': None, 'domain': 'Cooling', 'level': 1}, {'service': 'MC-3', 'condition': None, 'domain': 'Monitoring and control', 'level': 1}]",48.0
Honeywell T9 Smart Thermostat (multiple thermostats),"[{'service': 'H-1a', 'condition': None, 'domain': 'Heating', 'level': 4}, {'service': 'H-3', 'condition': None, 'domain': 'Heating', 'level': 1}, {'service': 'H-4', 'condition': None, 'domain': 'Heating', 'level': 2}, {'service': 'C-1a', 'condition': None, 'domain': 'Cooling', 'level': 4}, {'service': 'C-3', 'condition': None, 'domain': 'Cooling', 'level': 2}, {'service': 'C-4', 'condition': None, 'domain': 'Cooling', 'level': 2}, {'service': 'MC-4', 'condition': None, 'domain': 'Monitoring and control', 'level': 1}, {'service': 'MC-9', 'condition': None, 'domain': 'Monitoring and control', 'level': 1}]",1605.0
Honeywell T9 Smart Thermostat (single thermostat),"[{'service': 'H-1a', 'condition': None, 'domain': 'Heating', 'level': 1}, {'service': 'H-3', 'condition': None, 'domain': 'Heating', 'level': 1}, {'service': 'H-4', 'condition': None, 'domain': 'Heating', 'level': 2}, {'service': 'C-1a', 'condition': None, 'domain': 'Cooling', 'level': 1}, {'service': 'C-3', 'condition': None, 'domain': 'Cooling', 'level': 2}, {'service': 'C-4', 'condition': None, 'domain': 'Cooling', 'level': 2}, {'service': 'MC-4', 'condition': None, 'domain': 'Monitoring and control', 'level': 1}, {'service': 'MC-9', 'condition': None, 'domain': 'Monitoring and control', 'level': 1}]",321.0
Ice Energy Ice Bear 20 ,"[{'service': 'C-1g', 'condition': None, 'domain': 'Cooling', 'level': 3}, {'service': 'C-4', 'condition': None, 'domain': 'Cooling', 'level': 3}, {'service': 'E-5', 'condition': None, 'domain': 'Electricity', 'level': 2}, {'service': 'MC-28', 'condition': None, 'domain': 'Monitoring and control', 'level': 2}]",11000.0
Kamstrup Multical 603,"[{'service': 'DHW-3', 'condition': None, 'domain': 'Domestic hot water', 'level': 4}]",619.0
Kostal Wallbox EV charger,"[{'service': 'EV-15', 'condition': 'the examined asset is a single-family house', 'domain': 'Electric vehicle charging', 'level': 4}, {'service': 'EV-15', 'condition': 'the examined asset is a small multi-family house or non-residential', 'domain': 'Electric vehicle charging', 'level': 3}, {'service': 'EV-15', 'condition': 'the examined asset is a large multi-family house or non-residential', 'domain': 'Electric vehicle charging', 'level': 2}, {'service': 'EV-16', 'condition': None, 'domain': 'Electric vehicle charging', 'level': 1}, {'service': 'EV-17', 'condition': None, 'domain': 'Electric vehicle charging', 'level': 2}]",2150.0
Lifebreath 155MAX Heat Recovery Ventilator,"[{'service': 'V-1a', 'condition': None, 'domain': 'Ventilation', 'level': 1}, {'service': 'V-1c', 'condition': None, 'domain': 'Ventilation', 'level': 1}, {'service': 'V-2c', 'condition': None, 'domain': 'Ventilation', 'level': 2}, {'service': 'V-2d', 'condition': None, 'domain': 'Ventilation', 'level': 1}, {'service': 'V-3', 'condition': None, 'domain': 'Ventilation', 'level': 1}, {'service': 'V-6', 'condition': None, 'domain': 'Ventilation', 'level': 2}]",1971.0
Lutron Caséta Wireless Smart Lighting Kit (automatic dimming) ,"[{'service': 'L-1a', 'condition': None, 'domain': 'Lighting', 'level': 1}, {'service': 'L-2', 'condition': None, 'domain': 'Lighting', 'level': 2}, {'service': 'MC-9', 'condition': None, 'domain': 'Monitoring and control', 'level': 1}]",1264.0
Lutron Caséta Wireless Smart Lighting Kit (manual dimming) ,"[{'service': 'L-1a', 'condition': None, 'domain': 'Lighting', 'level': 1}, {'service': 'L-2', 'condition': None, 'domain': 'Lighting', 'level': 1}, {'service': 'MC-9', 'condition': None, 'domain': 'Monitoring and control', 'level': 1}]",639.0
Mitsubishi Electric PUMY-SP Series,"[{'service': 'C-1b', 'condition': None, 'domain': 'Cooling', 'level': 3}, {'service': 'C-1d', 'condition': None, 'domain': 'Cooling', 'level': 2}, {'service': 'C-1f', 'condition': None, 'domain': 'Cooling', 'level': 1}, {'service': 'C-2a', 'condition': None, 'domain': 'Cooling', 'level': 1}, {'service': 'C-2b', 'condition': None, 'domain': 'Cooling', 'level': 1}]",5949.0
Panasonic FV-10VE2 Intelli-Balance 100 Energy Recovery Ventilator,"[{'service': 'V-1a', 'condition': None, 'domain': 'Ventilation', 'level': 2}, {'service': 'V-1c', 'condition': None, 'domain': 'Ventilation', 'level': 3}, {'service': 'V-2d', 'condition': None, 'domain': 'Ventilation', 'level': 2}, {'service': 'V-3', 'condition': None, 'domain': 'Ventilation', 'level': 2}, {'service': 'V-6', 'condition': None, 'domain': 'Ventilation', 'level': 3}]",2245.0
Panasonic FV-25ZY1G Energy Recovery Ventilator,"[{'service': 'V-1a', 'condition': None, 'domain': 'Ventilation', 'level': 4}, {'service': 'V-1c', 'condition': None, 'domain': 'Ventilation', 'level': 3}, {'service': 'V-2c', 'condition': None, 'domain': 'Ventilation', 'level': 1}, {'service': 'V-2d', 'condition': None, 'domain': 'Ventilation', 'level': 2}, {'service': 'V-3', 'condition': None, 'domain': 'Ventilation', 'level': 2}, {'service': 'V-6', 'condition': None, 'domain': 'Ventilation', 'level': 3}]",2616.0
Residential Photovoltaic System with Storage: Kostal Plenticore Plus 3 Inverter + Trina Solar TSM375DEO8M.08 Photovoltaic Panels + Enphase Encharge 10kWh Battery Storage System,"[{'service': 'E-2', 'condition': None, 'domain': 'Electricity', 'level': 3}, {'service': 'E-3', 'condition': None, 'domain': 'Electricity', 'level': 4}, {'service': 'E-4', 'condition': None, 'domain': 'Electricity', 'level': 3}, {'service': 'E-8', 'condition': None, 'domain': 'Electricity', 'level': 3}, {'service': 'E-11', 'condition': None, 'domain': 'Electricity', 'level': 3}, {'service': 'MC-25', 'condition': None, 'domain': 'Monitoring and control', 'level': 2}, {'service': 'MC-28', 'condition': None, 'domain': 'Monitoring and control', 'level': 2}, {'service': 'MC-29', 'condition': None, 'domain': 'Monitoring and control', 'level': 4}]",11186.0
Residential Photovoltaic System with Storage: Kostal Plenticore Plus 3 Inverter + Trina Solar TSM375DEO8M.08 Photovoltaic Panels + LG Chem RESU 10 kWh Battery Storage System,"[{'service': 'E-2', 'condition': None, 'domain': 'Electricity', 'level': 3}, {'service': 'E-3', 'condition': None, 'domain': 'Electricity', 'level': 2}, {'service': 'E-4', 'condition': None, 'domain': 'Electricity', 'level': 3}, {'service': 'E-8', 'condition': None, 'domain': 'Electricity', 'level': 2}, {'service': 'E-11', 'condition': None, 'domain': 'Electricity', 'level': 4}, {'service': 'MC-25', 'condition': None, 'domain': 'Monitoring and control', 'level': 2}, {'service': 'MC-28', 'condition': None, 'domain': 'Monitoring and control', 'level': 2}, {'service': 'MC-29', 'condition': None, 'domain': 'Monitoring and control', 'level': 4}]",11267.0
Residential Photovoltaic System with Storage: Kostal Plenticore Plus 3 Inverter + Trina Solar TSM375DEO8M.08 Photovoltaic Panels + LG Chem RESU 6.5 kWh Battery Storage System,"[{'service': 'E-2', 'condition': None, 'domain': 'Electricity', 'level': 3}, {'service': 'E-3', 'condition': None, 'domain': 'Electricity', 'level': 1}, {'service': 'E-4', 'condition': None, 'domain': 'Electricity', 'level': 3}, {'service': 'E-8', 'condition': None, 'domain': 'Electricity', 'level': 2}, {'service': 'E-11', 'condition': None, 'domain': 'Electricity', 'level': 1}]",8951.0
Residential Photovoltaic System with Storage: Kostal Plenticore Plus 3 Inverter + Trina Solar TSM375DEO8M.08 Photovoltaic Panels + LG Energy Solution Enblock FLEX 8.6 kWh Battery Storage System,"[{'service': 'E-2', 'condition': None, 'domain': 'Electricity', 'level': 3}, {'service': 'E-3', 'condition': None, 'domain': 'Electricity', 'level': 3}, {'service': 'E-4', 'condition': None, 'domain': 'Electricity', 'level': 2}, {'service': 'E-8', 'condition': None, 'domain': 'Electricity', 'level': 1}, {'service': 'E-11', 'condition': None, 'domain': 'Electricity', 'level': 4}, {'service': 'MC-25', 'condition': None, 'domain': 'Monitoring and control', 'level': 1}, {'service': 'MC-28', 'condition': None, 'domain': 'Monitoring and control', 'level': 2}, {'service': 'MC-29', 'condition': None, 'domain': 'Monitoring and control', 'level': 1}]",11134.0
Residential Photovoltaic System: Fronius Symo 3.0-3 Inverter + Trina Solar TSM375DEO8M.08 Photovoltaic Panels ,"[{'service': 'E-2', 'condition': None, 'domain': 'Electricity', 'level': 1}, {'service': 'E-3', 'condition': None, 'domain': 'Electricity', 'level': 1}, {'service': 'MC-28', 'condition': None, 'domain': 'Monitoring and control', 'level': 1}]",4116.0
Residential Photovoltaic System: Kostal Plenticore Plus 3 Inverter + Trina Solar TSM375DEO8M.08 Photovoltaic Panels,"[{'service': 'E-2', 'condition': None, 'domain': 'Electricity', 'level': 3}, {'service': 'E-4', 'condition': None, 'domain': 'Electricity', 'level': 2}, {'service': 'MC-25', 'condition': None, 'domain': 'Monitoring and control', 'level': 1}, {'service': 'MC-28', 'condition': None, 'domain': 'Monitoring and control', 'level': 2}, {'service': 'MC-29', 'condition': None, 'domain': 'Monitoring and control', 'level': 1}]",4884.0
Schneider Electric Clipsal C-Bus,"[{'service': 'L-1a', 'condition': None, 'domain': 'Lighting', 'level': 3}, {'service': 'L-2', 'condition': None, 'domain': 'Lighting', 'level': 4}, {'service': 'MC-9', 'condition': None, 'domain': 'Monitoring and control', 'level': 1}, {'service': 'MC-30', 'condition': None, 'domain': 'Monitoring and control', 'level': 2}]",5450.0
Sense Energy Monitor ,"[{'service': 'E-2', 'condition': None, 'domain': 'Electricity', 'level': 2}, {'service': 'E-12', 'condition': None, 'domain': 'Electricity', 'level': 1}]",475.0
"Siemens G120P-3/35B Variable Speed Drive, G120P-IP55-PAN-EXT, G120P-AIRSHEET-FSA, G120P-IOP-2-BT Intelligent operator panel","[{'service': 'H-1d', 'condition': None, 'domain': 'Heating', 'level': 3}, {'service': 'C-1d', 'condition': None, 'domain': 'Cooling', 'level': 3}, {'service': 'C-2a', 'condition': None, 'domain': 'Cooling', 'level': 2}]",3044.0
"Siemens N543D51 Solar protection actuator, 8xAC230V, 6A, with end position detection","[{'service': 'DE-1', 'condition': None, 'domain': 'Dynamic building envelope', 'level': 3}, {'service': 'DE-2', 'condition': None, 'domain': 'Dynamic building envelope', 'level': 3}]",1060.0
Siemens RDF600KN Flush mount KNX room thermostat,"[{'service': 'H-1a', 'condition': None, 'domain': 'Heating', 'level': 3}, {'service': 'C-1a', 'condition': None, 'domain': 'Cooling', 'level': 3}]",1875.0
Siemens RDS110 Smart Room Thermostat,"[{'service': 'H-1a', 'condition': None, 'domain': 'Heating', 'level': 4}, {'service': 'C-1a', 'condition': None, 'domain': 'Cooling', 'level': 4}]",4265.0
Siemens RLM162 Air duct temperature controller ,"[{'service': 'V-1a', 'condition': None, 'domain': 'Ventilation', 'level': 2}, {'service': 'V-1c', 'condition': None, 'domain': 'Ventilation', 'level': 3}, {'service': 'V-2d', 'condition': None, 'domain': 'Ventilation', 'level': 4}]",5355.0
Siemens RMU710B-1 Universal controller ,"[{'service': 'H-1c', 'condition': None, 'domain': 'Heating', 'level': 2}, {'service': 'H-2d', 'condition': None, 'domain': 'Heating', 'level': 4}, {'service': 'C-1c', 'condition': None, 'domain': 'Cooling', 'level': 2}, {'service': 'C-2a', 'condition': None, 'domain': 'Cooling', 'level': 2}, {'service': 'C-2b', 'condition': None, 'domain': 'Cooling', 'level': 4}, {'service': 'DHW-2b', 'condition': None, 'domain': 'Domestic hot water', 'level': 4}, {'service': 'V-1a', 'condition': None, 'domain': 'Ventilation', 'level': 4}, {'service': 'V-1c', 'condition': None, 'domain': 'Ventilation', 'level': 3}, {'service': 'V-2c', 'condition': None, 'domain': 'Ventilation', 'level': 2}, {'service': 'V-2d', 'condition': None, 'domain': 'Ventilation', 'level': 3}]",8721.0
Siemens RVD250-A district heating controller,"[{'service': 'H-1c', 'condition': None, 'domain': 'Heating', 'level': 2}, {'service': 'DHW-1a', 'condition': None, 'domain': 'Domestic hot water', 'level': 3}, {'service': 'DHW-1b', 'condition': None, 'domain': 'Domestic hot water', 'level': 3}, {'service': 'DHW-1d', 'condition': None, 'domain': 'Domestic hot water', 'level': 3}, {'service': 'MC-4', 'condition': None, 'domain': 'Monitoring and control', 'level': 3}]",3677.0
Siemens RVL482 Heating controller for boiler temperature control for modulating or 2-stage burners with d.h.w. heating,"[{'service': 'H-1a', 'condition': None, 'domain': 'Heating', 'level': 2}, {'service': 'H-2a', 'condition': None, 'domain': 'Heating', 'level': 2}, {'service': 'H-2b', 'condition': None, 'domain': 'Heating', 'level': 2}, {'service': 'DHW-1a', 'condition': None, 'domain': 'Domestic hot water', 'level': 3}, {'service': 'DHW-1b', 'condition': None, 'domain': 'Domestic hot water', 'level': 3}, {'service': 'DHW-1d', 'condition': None, 'domain': 'Domestic hot water', 'level': 3}]",5613.0
"Siemens UH50-A74-00 Ultrasonic heat meter, RS-485(MS/TP) BACnet module, WZU5- 2815 pair of temperature sensors","[{'service': 'H-3', 'condition': None, 'domain': 'Heating', 'level': 4}, {'service': 'C-3', 'condition': None, 'domain': 'Cooling', 'level': 4}, {'service': 'DHW-3', 'condition': None, 'domain': 'Domestic hot water', 'level': 4}]",5436.0
"Siemens UP258D51 Presence Detector WIDE multi with temperature, humidity, and CO2 measurement, IR remote control ","[{'service': 'H-1a', 'condition': None, 'domain': 'Heating', 'level': 3}, {'service': 'C-1a', 'condition': None, 'domain': 'Cooling', 'level': 3}, {'service': 'L-1a', 'condition': None, 'domain': 'Lighting', 'level': 4}, {'service': 'L-2', 'condition': None, 'domain': 'Lighting', 'level': 4}, {'service': 'V-6', 'condition': None, 'domain': 'Ventilation', 'level': 1}]",4845.0
"Siemens WFW636.D110 Electronic impeller type hot water meter, M-bus radio communication, S-mode, WTT662-BA1100 Network node","[{'service': 'DHW-3', 'condition': None, 'domain': 'Domestic hot water', 'level': 2}]",241.0
Somfy Animeo IB+ 4 AC Motor Controller (with sun sensors),"[{'service': 'DE-1', 'condition': None, 'domain': 'Dynamic building envelope', 'level': 2}, {'service': 'DE-4', 'condition': None, 'domain': 'Dynamic building envelope', 'level': 3}]",3551.0
"Somfy Animeo IB+ 4 AC Motor Controller (with sun, window, temperature, and occupancy sensors)","[{'service': 'DE-1', 'condition': None, 'domain': 'Dynamic building envelope', 'level': 4}, {'service': 'DE-2', 'condition': None, 'domain': 'Dynamic building envelope', 'level': 3}, {'service': 'DE-4', 'condition': None, 'domain': 'Dynamic building envelope', 'level': 4}]",4842.0
Somfy Animeo IB+ 4 AC Motor Controller (with window & temperature sensors),"[{'service': 'DE-1', 'condition': None, 'domain': 'Dynamic building envelope', 'level': 1}, {'service': 'DE-2', 'condition': None, 'domain': 'Dynamic building envelope', 'level': 2}, {'service': 'DE-4', 'condition': None, 'domain': 'Dynamic building envelope', 'level': 3}]",4239.0
