Name,Services,Cost,Desc,img
"EcoStruxure Panel Server – universal wireless, concentrator Modbus gateway 110-277 VAC/DC, iEM3155 energy meter -63A- Modbus","[{'service': 'E-2', 'condition': None, 'level': 4}, {'service': 'E-4', 'condition': None, 'level': 3}, {'service': 'E-8', 'condition': None, 'level': 1}, {'service': 'E-11', 'condition': None, 'level': 4}, {'service': 'E-12', 'condition': None, 'level': 2}]",4084.0,"EcoStruxure Panel Server is a gateway, providing connection of wired or unwired smart IoT devices to edge control software or cloud application. Combined with the iEM 3155 which provides: measurement of active and reactive energy, multi tariffs (up to4), MID/MIR compliance to many meters, pulse outputs, and communication via Modbus, LonWorks, M-Bus or BACnet protocols.",EcoStruxure_Panel_Server.png
Ecobee SmartThermostat (multiple thermostats),"[{'service': 'H-1a', 'condition': None, 'level': 4}, {'service': 'H-2a', 'condition': None, 'level': 2}, {'service': 'C-1a', 'condition': None, 'level': 4}, {'service': 'V-1a', 'condition': None, 'level': 3}, {'service': 'E-12', 'condition': None, 'level': 4}, {'service': 'MC-3', 'condition': None, 'level': 3}, {'service': 'MC-4', 'condition': None, 'level': 2}, {'service': 'MC-9', 'condition': None, 'level': 2}, {'service': 'MC-13', 'condition': None, 'level': 3}, {'service': 'MC-25', 'condition': None, 'level': 2}, {'service': 'MC-29', 'condition': None, 'level': 2}, {'service': 'MC-30', 'condition': None, 'level': 3}]",1970.0,"The Ecobee SmartThermostat is an advanced smart home device that efficiently manages heating and cooling systems. It offers remote control and scheduling through its app and web dashboard, allowing users to customize their settings from anywhere. Equipped with wireless room sensors, it monitors temperature and occupancy in different rooms to optimize comfort and energy efficiency. The thermostat features built-in Amazon Alexa for voice control and integrates with smart home ecosystems like Apple HomeKit, Google Assistant, Samsung SmartThings, and IFTTT. By learning user preferences and adjusting settings automatically, it helps reduce energy consumption and provides detailed usage reports for optimization. ",Ecobee_SmartThermostat.png
Ecobee SmartThermostat (single thermostat),"[{'service': 'H-1a', 'condition': None, 'level': 1}, {'service': 'H-2a', 'condition': None, 'level': 2}, {'service': 'C-1a', 'condition': None, 'level': 1}, {'service': 'V-1a', 'condition': None, 'level': 3}, {'service': 'E-12', 'condition': None, 'level': 4}, {'service': 'MC-3', 'condition': None, 'level': 3}, {'service': 'MC-4', 'condition': None, 'level': 2}, {'service': 'MC-9', 'condition': None, 'level': 2}, {'service': 'MC-13', 'condition': None, 'level': 3}, {'service': 'MC-25', 'condition': None, 'level': 2}, {'service': 'MC-29', 'condition': None, 'level': 2}, {'service': 'MC-30', 'condition': None, 'level': 3}]",394.0,"The Ecobee SmartThermostat is an advanced smart home device that efficiently manages heating and cooling systems. It offers remote control and scheduling through its app and web dashboard, allowing users to customize their settings from anywhere. Equipped with wireless room sensors, it monitors temperature and occupancy in different rooms to optimize comfort and energy efficiency. The thermostat features built-in Amazon Alexa for voice control and integrates with smart home ecosystems like Apple HomeKit, Google Assistant, Samsung SmartThings, and IFTTT. By learning user preferences and adjusting settings automatically, it helps reduce energy consumption and provides detailed usage reports for optimization. ",Ecobee_SmartThermostat.png
Efergy Elite Classic,"[{'service': 'E-12', 'condition': None, 'level': 3}, {'service': 'V-6', 'condition': None, 'level': 2}]",215.0,"The Efergy Elite Classic is a user-friendly energy monitor designed to help households track and manage their electricity consumption in real time. It features a wireless display that shows current energy usage, cost, and carbon footprint, providing insights that can help users reduce their energy bills and environmental impact. Easy to install and use, the Elite Classic comes with a transmitter and sensor that clip onto the main power cable, allowing it to monitor energy use accurately.",Efergy_Elite_Classic.webp
Electric Car Charger Type 2 - Schuko (220V),"[{'service': 'EV-15', 'condition': None, 'level': 1}, {'service': 'EV-17', 'condition': None, 'level': 1}]",180.0,"The Type 2 - Schuko EV Charging Cable is a standard, user-friendly charging cable designed for electric vehicles (EVs). It features a Type 2 connector compatible with most European EVs and a Schuko plug for connecting to regular household power outlets. The cable supports single-phase charging at up to 3.6 kW, making it ideal for home use where a dedicated EV charging station is not available.",Electric_Car_Charger_Type_2_-_Schuko_(220V).webp
Fantech VHR 70R ES Fresh Air Appliance Heat Recovery Ventilator,"[{'service': 'V-1a', 'condition': None, 'level': 2}, {'service': 'V-1c', 'condition': None, 'level': 1}, {'service': 'V-2c', 'condition': None, 'level': 1}, {'service': 'V-2d', 'condition': None, 'level': 2}, {'service': 'V-3', 'condition': None, 'level': 2}, {'service': 'V-6', 'condition': None, 'level': 2}]",1616.0,"The Fantech VHR 70 is a sophisticated heat recovery ventilation unit designed to enhance indoor air quality and energy efficiency. It features advanced air flow control that adjusts based on occupancy, ensuring optimal ventilation. The unit supports automatic pressure control without advanced pressure reset capabilities and effectively manages heat recovery by modulating or bypassing it to prevent overheating based on exhaust sensors.",Fantech_VHR_70R_ES_Fresh_Air_Appliance_Heat_Recovery_Ventilator.jpg
Fujitsu General Waterwaste,"[{'service': 'H-2a', 'condition': None, 'level': 2}, {'service': 'H-2b', 'condition': None, 'level': 2}, {'service': 'H-4', 'condition': None, 'level': 2}, {'service': 'DHW-1b', 'condition': None, 'level': 2}, {'service': 'DHW-1d', 'condition': None, 'level': 2}, {'service': 'DHW-2b', 'condition': None, 'level': 2}]",8580.0,"The Fujitsu General Waterstage is an air-to-water heat pump designed for residential use. It offers efficient heating, cooling, and domestic hot water production. The system integrates with various heating and cooling setups, including underfloor heating and radiators.",Fujitsu_General_Waterstage.jpg
Google Nest Learning Thermostat (multiple thermostats),"[{'service': 'H-1a', 'condition': None, 'level': 4}, {'service': 'H-3', 'condition': None, 'level': 2}, {'service': 'H-4', 'condition': None, 'level': 3}, {'service': 'C-1a', 'condition': None, 'level': 4}, {'service': 'C-3', 'condition': None, 'level': 2}, {'service': 'C-4', 'condition': None, 'level': 2}, {'service': 'DHW-1b', 'condition': None, 'level': 1}, {'service': 'E-12', 'condition': None, 'level': 4}, {'service': 'MC-9', 'condition': None, 'level': 1}]",1885.0,"Designed to enhance heating and cooling systems, the Google Nest Thermostat is a smart home appliance that improves user comfort and energy economy. Over time, it picks up on your daily schedule and preferences, automatically adjusting the temperature to save energy when you're not home and maintain a comfortable atmosphere when you are. The Google Home app allows for remote control of the device, making it easy to change the temperature of your house from anywhere. It also offers analyses and insights into energy consumption, assisting users in making decisions that decrease their carbon footprint.",Google_Nest_Learning_Thermostat.jpg
Google Nest Learning Thermostat (single thermostat),"[{'service': 'H-1a', 'condition': None, 'level': 1}, {'service': 'H-3', 'condition': None, 'level': 2}, {'service': 'H-4', 'condition': None, 'level': 3}, {'service': 'C-1a', 'condition': None, 'level': 1}, {'service': 'C-3', 'condition': None, 'level': 2}, {'service': 'C-4', 'condition': None, 'level': 2}, {'service': 'DHW-1b', 'condition': None, 'level': 1}, {'service': 'E-12', 'condition': None, 'level': 4}, {'service': 'MC-9', 'condition': None, 'level': 1}]",377.0,"Designed to enhance heating and cooling systems, the Google Nest Thermostat is a smart home appliance that improves user comfort and energy economy. Over time, it picks up on your daily schedule and preferences, automatically adjusting the temperature to save energy when you're not home and maintain a comfortable atmosphere when you are. The Google Home app allows for remote control of the device, making it easy to change the temperature of your house from anywhere. It also offers analyses and insights into energy consumption, assisting users in making decisions that decrease their carbon footprint.",Google_Nest_Learning_Thermostat.jpg
Grundfos MAGNA3 ,"[{'service': 'H-1d', 'condition': None, 'level': 4}, {'service': 'H-2a', 'condition': None, 'level': 1}, {'service': 'H-3', 'condition': None, 'level': 1}, {'service': 'DHW-1a', 'condition': None, 'level': 1}, {'service': 'DHW-1b', 'condition': None, 'level': 1}, {'service': 'C-1d', 'condition': None, 'level': 4}]",1051.0,"The Grundfos MAGNA3 is an advanced, energy-efficient circulator pump designed for heating, cooling, and domestic hot water systems. It features variable speed control, allowing for precise adjustment of pump performance based on external signals and system demands. This enhances energy efficiency and system flexibility. The MAGNA3 supports integration with control systems, enabling sophisticated management of heating and cooling networks, as well as hot water systems, while providing detailed performance reporting.",Grundfos_MAGNA3.jpg
Honeywell Home RTH5160D1003 Simple Display Non-Programmable Thermostat ,"[{'service': 'H-1d', 'condition': None, 'level': 1}, {'service': 'H-4', 'condition': None, 'level': 1}, {'service': 'C-1d', 'condition': None, 'level': 1}, {'service': 'C-4', 'condition': None, 'level': 1}, {'service': 'MC-3', 'condition': None, 'level': 1}]",48.0,"The Honeywell Home RTH5160D1003 Simple Display Non-Programmable Thermostat is designed for straightforward temperature control without programmable scheduling. It features a clear and easy-to-read display, making it user-friendly for adjusting heating and cooling settings manually. This thermostat is ideal for users who prefer basic functionality without the complexity of programmable options, offering reliable temperature management in residential and light commercial environments.",Honeywell_Home_RTH5160D1003_Simple_Display_Non-Programmable_Thermostat_(3).jpg
Honeywell T9 Smart Thermostat (multiple thermostats),"[{'service': 'H-1a', 'condition': None, 'level': 4}, {'service': 'H-3', 'condition': None, 'level': 1}, {'service': 'H-4', 'condition': None, 'level': 2}, {'service': 'C-1a', 'condition': None, 'level': 4}, {'service': 'C-3', 'condition': None, 'level': 2}, {'service': 'C-4', 'condition': None, 'level': 2}, {'service': 'MC-4', 'condition': None, 'level': 1}, {'service': 'MC-9', 'condition': None, 'level': 1}]",1605.0,"The Honeywell T9 Smart Thermostat is a sophisticated device that enhances home comfort and energy efficiency with its advanced features. It uses Smart Room Sensors to monitor temperature and occupancy in different rooms, ensuring optimal heating and cooling where it is needed most. The thermostat's intuitive touchscreen display and remote access via the Honeywell Home app provide convenient control from anywhere. Additionally, its compatibility with major smart home platforms like Amazon Alexa, Google Assistant, and Apple HomeKit allows for seamless integration and voice control, making it a versatile addition to any modern home.",Honeywell_T9_Smart_Thermostat.jpg
Honeywell T9 Smart Thermostat (single thermostat),"[{'service': 'H-1a', 'condition': None, 'level': 1}, {'service': 'H-3', 'condition': None, 'level': 1}, {'service': 'H-4', 'condition': None, 'level': 2}, {'service': 'C-1a', 'condition': None, 'level': 1}, {'service': 'C-3', 'condition': None, 'level': 2}, {'service': 'C-4', 'condition': None, 'level': 2}, {'service': 'MC-4', 'condition': None, 'level': 1}, {'service': 'MC-9', 'condition': None, 'level': 1}]",321.0,"The Honeywell T9 Smart Thermostat is a sophisticated device that enhances home comfort and energy efficiency with its advanced features. It uses Smart Room Sensors to monitor temperature and occupancy in different rooms, ensuring optimal heating and cooling where it is needed most. The thermostat's intuitive touchscreen display and remote access via the Honeywell Home app provide convenient control from anywhere. Additionally, its compatibility with major smart home platforms like Amazon Alexa, Google Assistant, and Apple HomeKit allows for seamless integration and voice control, making it a versatile addition to any modern home.",Honeywell_T9_Smart_Thermostat.jpg
Ice Energy Ice Bear 20 ,"[{'service': 'C-1g', 'condition': None, 'level': 3}, {'service': 'C-4', 'condition': None, 'level': 3}, {'service': 'E-5', 'condition': None, 'level': 2}, {'service': 'MC-28', 'condition': None, 'level': 2}]",11000.0,"The Ice Energy Ice Bear is a thermal energy storage system designed primarily for cooling applications. It utilizes ice-based technology to store energy during off-peak hours when electricity demand is lower and uses this stored energy to provide cooling during peak demand times. This system helps reduce energy costs and peak electricity demand, offering efficient cooling solutions for residential and commercial buildings.",Ice_Energy_Ice_Bear_20.jpg
Kamstrup Multical 603,"[{'service': 'DHW-3', 'condition': None, 'level': 4}]",619.0,"The Kamstrup Multical 603 is a state-of-the-art thermal energy meter designed for accurate measurement and monitoring of heating and cooling consumption in residential, commercial, and industrial buildings. Featuring high-precision ultrasonic technology, it ensures reliable and maintenance-free operation. It is equipped with flexible communication options, allowing integration with various data management systems for remote reading and energy management. ",Kamstrup_Multical_603.png
Kostal Wallbox EV charger,"[{'service': 'EV-15', 'condition': 'the examined asset is a single-family house', 'level': 4}, {'service': 'EV-15', 'condition': 'the examined asset is a small multi-family house or non-residential', 'level': 3}, {'service': 'EV-15', 'condition': 'the examined asset is a large multi-family house or non-residential', 'level': 2}, {'service': 'EV-16', 'condition': None, 'level': 1}, {'service': 'EV-17', 'condition': None, 'level': 2}]",2150.0,"The Kostal Wallbox is an advanced electric vehicle charging station designed for residential and commercial use, offering efficient and user-friendly solutions. With adjustable charging power, compatibility with various EV models, an intuitive control interface, and advanced safety features, it ensures reliable and flexible charging.",Kostal_Wallbox_EV_charger.jpg
Lifebreath 155MAX Heat Recovery Ventilator,"[{'service': 'V-1a', 'condition': None, 'level': 1}, {'service': 'V-1c', 'condition': None, 'level': 1}, {'service': 'V-2c', 'condition': None, 'level': 2}, {'service': 'V-2d', 'condition': None, 'level': 1}, {'service': 'V-3', 'condition': None, 'level': 1}, {'service': 'V-6', 'condition': None, 'level': 2}]",1971.0,"The Lifebreath 155MAX Heat Recovery Ventilator is a high-efficiency ventilation system designed to provide fresh air while recovering heat from exhaust air. It features a balanced ventilation process that helps improve indoor air quality and energy efficiency by exchanging stale indoor air with fresh outdoor air, minimizing energy loss. The unit offers basic controls for night cooling and is suitable for residential applications, delivering essential ventilation without advanced automation or complex controls.",Lifebreath_155MAX_Heat_Recovery_Ventilator.jpg
Lutron Caséta Wireless Smart Lighting Kit (automatic dimming) ,"[{'service': 'L-1a', 'condition': None, 'level': 1}, {'service': 'L-2', 'condition': None, 'level': 2}, {'service': 'MC-9', 'condition': None, 'level': 1}]",1264.0,"The Lutron Caséta Wireless Smart Lighting Kit is an advanced lighting control system that includes dimmer switches and Pico remote controls, allowing for seamless and convenient light management in your home. It enables you to set schedules, control lights remotely via a smartphone app, and integrate with various smart home systems such as Alexa, Google Assistant, and Apple HomeKit.",Lutron_CasÇta_Wireless_Smart_Lighting_Kit.jpg
Lutron Caséta Wireless Smart Lighting Kit (manual dimming) ,"[{'service': 'L-1a', 'condition': None, 'level': 1}, {'service': 'L-2', 'condition': None, 'level': 1}, {'service': 'MC-9', 'condition': None, 'level': 1}]",639.0,"The Lutron Caséta Wireless Smart Lighting Kit is an advanced lighting control system that includes dimmer switches and Pico remote controls, allowing for seamless and convenient light management in your home. It enables you to set schedules, control lights remotely via a smartphone app, and integrate with various smart home systems such as Alexa, Google Assistant, and Apple HomeKit.",Lutron_CasÇta_Wireless_Smart_Lighting_Kit.jpg
Mitsubishi Electric PUMY-SP Series,"[{'service': 'C-1b', 'condition': None, 'level': 3}, {'service': 'C-1d', 'condition': None, 'level': 2}, {'service': 'C-1f', 'condition': None, 'level': 1}, {'service': 'C-2a', 'condition': None, 'level': 1}, {'service': 'C-2b', 'condition': None, 'level': 1}]",5949.0,"The Mitsubishi Electric PUMY-SP Series is an air source heat pump ideal for residential and light commercial use. It offers high performance with low energy consumption, supports various indoor units, operates quietly, and is built for durability in diverse weather conditions.",Mitsubishi_Electric_PUMY-SP_Series.png
Panasonic FV-10VE2 Intelli-Balance 100 Energy Recovery Ventilator,"[{'service': 'V-1a', 'condition': None, 'level': 2}, {'service': 'V-1c', 'condition': None, 'level': 3}, {'service': 'V-2d', 'condition': None, 'level': 2}, {'service': 'V-3', 'condition': None, 'level': 2}, {'service': 'V-6', 'condition': None, 'level': 3}]",2245.0,"The Panasonic FV-10VE2 Intelli-Balance 100 Balanced Air Solution ERV is a sophisticated ventilation system designed to enhance indoor air quality and energy efficiency in residential and light commercial environments. This unit operates on the principle of balanced ventilation, ensuring a continuous exchange of stale indoor air with fresh outdoor air, thereby maintaining a healthy indoor environment. It incorporates energy recovery technology, efficiently transferring heat and moisture between incoming and outgoing air streams to minimize energy loss.",Panasonic_FV-10VE2_Intelli-Balance_100_Energy_Recovery_Ventilator.jpg
Panasonic FV-25ZY1G Energy Recovery Ventilator,"[{'service': 'V-1a', 'condition': None, 'level': 4}, {'service': 'V-1c', 'condition': None, 'level': 3}, {'service': 'V-2c', 'condition': None, 'level': 1}, {'service': 'V-2d', 'condition': None, 'level': 2}, {'service': 'V-3', 'condition': None, 'level': 2}, {'service': 'V-6', 'condition': None, 'level': 3}]",2616.0,"The Panasonic FV-25ZY1G Energy Recovery Ventilator is a high-performance ventilation system designed to improve indoor air quality by efficiently exchanging indoor and outdoor air while recovering energy. It features advanced heat exchange technology to minimize energy loss and maintain comfortable indoor temperatures. Ideal for residential and light commercial use, the FV-25ZY1G offers quiet operation, easy installation, and reliable performance, making it an excellent choice for enhancing ventilation and energy efficiency in various environments.",Panasonic_FV-25ZY1G_Energy_Recovery_Ventilator.png
Residential Photovoltaic System with Storage: Kostal Plenticore Plus 3 Inverter + Trina Solar TSM375DEO8M.08 Photovoltaic Panels + Enphase Encharge 10kWh Battery Storage System,"[{'service': 'E-2', 'condition': None, 'level': 3}, {'service': 'E-3', 'condition': None, 'level': 4}, {'service': 'E-4', 'condition': None, 'level': 3}, {'service': 'E-8', 'condition': None, 'level': 3}, {'service': 'E-11', 'condition': None, 'level': 3}, {'service': 'MC-25', 'condition': None, 'level': 2}, {'service': 'MC-28', 'condition': None, 'level': 2}, {'service': 'MC-29', 'condition': None, 'level': 4}]",11186.0,"The Kostal Plenticore Plus 3 Inverter is a high-performance hybrid inverter designed for residential and commercial photovoltaic (PV) systems. It offers versatile energy management by supporting both solar power conversion and energy storage integration. With its multi-functional capabilities, the Plenticore Plus can optimize energy usage by combining solar production, battery storage, and grid interaction.
The Trina Solar TSM375DEO8M.08 photovoltaic panels are high-quality solar panels designed to efficiently convert sunlight into electricity for residential, commercial, and utility-scale solar projects. With a power output of 375 watts per panel, they feature high efficiency and durability, making them suitable for various installations. The Enphase Encharge 10 is a modular lithium iron phosphate (LFP) battery system designed for residential energy storage. It has a usable capacity of 10.08 kWh and features high reliability and safety. The Encharge 10 integrates seamlessly with Enphase microinverters and the Enphase Ensemble energy management technology, offering advanced features like real-time monitoring, optimization of energy usage, and grid independence. It supports both on-grid and off-grid applications, ensuring continuous power supply during outages.",Kostal_Plenticore_Plus_3_Inverter.jpeg
Residential Photovoltaic System with Storage: Kostal Plenticore Plus 3 Inverter + Trina Solar TSM375DEO8M.08 Photovoltaic Panels + LG Chem RESU 10 kWh Battery Storage System,"[{'service': 'E-2', 'condition': None, 'level': 3}, {'service': 'E-3', 'condition': None, 'level': 2}, {'service': 'E-4', 'condition': None, 'level': 3}, {'service': 'E-8', 'condition': None, 'level': 2}, {'service': 'E-11', 'condition': None, 'level': 4}, {'service': 'MC-25', 'condition': None, 'level': 2}, {'service': 'MC-28', 'condition': None, 'level': 2}, {'service': 'MC-29', 'condition': None, 'level': 4}]",11267.0,"The Kostal Plenticore Plus 3 Inverter is a high-performance hybrid inverter designed for residential and commercial photovoltaic (PV) systems. It offers versatile energy management by supporting both solar power conversion and energy storage integration. With its multi-functional capabilities, the Plenticore Plus can optimize energy usage by combining solar production, battery storage, and grid interaction.
The Trina Solar TSM375DEO8M.08 photovoltaic panels are high-quality solar panels designed to efficiently convert sunlight into electricity for residential, commercial, and utility-scale solar projects. With a power output of 375 watts per panel, they feature high efficiency and durability, making them suitable for various installations. The LG Chem RESU 10 is a high-capacity lithium-ion battery designed for residential energy storage. It has a usable capacity of 9.8 kWh and features high energy density, allowing for a compact and lightweight design. The RESU 10 is capable of both on-grid and off-grid operation, enabling homeowners to store excess solar energy for later use, reduce electricity bills, and ensure energy security during power outages. It offers seamless integration with various inverters and smart energy management systems, providing real-time monitoring and optimization of energy consumption. ",Kostal_Plenticore_Plus_3_Inverter.jpeg
